,uniprot_id,ev_association_score,tau_scores
222,Q9HCC6,1.110706294,0.035714286
223,Q8NE63,0.450280751,0.035714286
224,Q86SG4,0.770756235,0.035714286
225,P20823,3.356865432,0.035714286
226,P41235,1.467094472,0.035714286
227,P14651,1.154916559,0.035714286
228,P17483,0.865979841,0.035714286
229,P13378,0.97641953,0.035714286
230,P28356,0.065642975,0.035714286
231,P32754,0.781896943,0.035714286
232,Q9UBD0,1.507675843,0.035714286
233,Q9BXS1,1.119358448,0.035714286
234,P14902,0.984921045,0.052798641
235,Q6U949,1.276876469,0.035714286
236,P38935,1.14293402,0.246107798
237,Q8N9C0,1.170755949,0.035714286
238,Q96T92,0.488326255,0.035714286
239,B3KU38,0.940284179,0.035714286
240,P61371,1.116698939,0.035714286
241,Q9NPI5,0.971649463,0.035714286
242,P23677,0.809799252,0.052190376
243,P07476,0.801716955,0.035714286
244,Q2TBA0,0.995504057,0.035714286
245,Q17RG1,1.487615455,0.035714286
246,Q9ULL0,0.951271514,0.035714286
247,Q5VZ46,1.776628204,0.078056096
248,Q2TAC6,0.836631727,0.035714286
249,Q9ULI4,0.968361928,0.035714286
250,Q8N4N8,0.652377028,0.035714286
251,Q99661,2.064003797,0.120329097
252,Q2VIQ3,1.242573384,0.035714286
253,Q92845,1.054959347,0.035714286
254,Q9BW19,0.944949623,0.035714286
255,Q9BVG8,1.005717514,0.166335602
256,Q96G42,1.236711755,0.035714286
257,Q107X0,0.066197896,0.035714286
258,A9QM74,0.635801113,0.035714286
259,Q99456,0.081751414,0.035714286
260,P02533,0.911154837,0.035714286
261,Q04695,0.924077144,0.035714286
262,P08727,0.886467849,0.035714286
263,P35900,1.200593137,0.035714286
264,Q15323,0.923171452,0.035714286
265,P13647,0.922828804,0.035714286
266,P48668,0.6650829,0.035714286
267,Q8N1N4,1.358285711,0.035714286
268,P05787,1.008115518,0.035714286
269,Q5T7N2,0.766276146,0.035714286
270,Q6XYB7,1.127147545,0.035714286
271,P06239,2.433822066,0.035714286
272,Q5T871,0.422540028,0.035714286
273,P47929,0.510229821,0.035714286
274,P48742,0.828857655,0.035714286
275,Q8N7U9,1.05106549,0.035714286
276,Q8NCU1,1.442384405,0.035714286
277,Q6P5Q4,2.152395186,0.155653633
278,Q8N309,0.660537417,0.232078781
279,Q96CN5,0.867802186,0.035714286
280,Q8N4P6,0.831970925,0.035714286
281,P09960,0.929174343,0.035714286
282,Q6ZN28,1.10283271,0.061327529
283,P43355,1.536187211,0.035714286
284,P43358,0.906070161,0.035714286
285,P43362,8.263675969,0.035714286
286,Q96M61,1.381697503,0.035714286
287,O15479,0.819264252,0.035714286
288,O15480,1.063622043,0.035714286
289,O15481,1.634933007,0.035714286
290,Q9UBF1,2.952618305,0.035714286
291,Q9H6Y5,0.990604306,0.030014535
292,Q96L34,1.007395116,0.171916353
293,Q7L590,0.915771786,0.070945578
294,Q14676,1.139210412,0.223905039
295,O15553,0.356329934,0.035714286
296,P50221,0.834526617,0.035714286
297,Q5JXC2,0.948637774,0.104436126
298,Q9UGB7,15.42907994,0.035714286
299,Q6WCQ1,0.422061393,0.071964753
300,Q6IN84,0.044356941,0.101308993
301,Q14324,1.094355809,0.035714286
302,Q13203,0.661968372,0.035714286
303,P12882,1.023918677,0.035714286
304,Q9UKX3,1.937828381,0.035714286
305,Q9Y623,1.101153343,0.035714286
306,P12883,0.580545778,0.035714286
307,A7E2Y1,0.864948222,0.035714286
308,P05976,0.514328403,0.035714286
309,Q9BUA6,3.265103704,0.035714286
310,P12829,1.009870414,0.035714286
311,Q8IUG5,0.905116831,0.035714286
312,B0I1T2,1.218681059,0.035714286
313,P15172,1.227819446,0.035714286
314,Q5VTT5,0.967630592,0.035714286
